"FullName","SizeMB","CreationTime","Extension"
"C:\All phones data\mom new one storage\Camera\.trashed-1763194864-IMG_20251016_134945.jpg","3.7","17-10-2025 23:14:24",".jpg"
"C:\All phones data\mom new one storage\Camera\.trashed-1763194870-IMG_20251016_075049.jpg","3.1","17-10-2025 23:14:24",".jpg"
"C:\All phones data\mom new one storage\Camera\.trashed-1763194870-IMG_20251016_122935.jpg","3.61","17-10-2025 23:14:25",".jpg"
"C:\All phones data\mom new one storage\Camera\.trashed-1763288458-IMG_20251017_075221.jpg","4.56","17-10-2025 23:14:25",".jpg"
"C:\All phones data\mom new one storage\Camera\.trashed-1763288460-IMG_20251017_080137.jpg","3.29","17-10-2025 23:14:25",".jpg"
"C:\All phones data\mom new one storage\Camera\.trashed-1763288460-IMG_20251017_081241.jpg","5.11","17-10-2025 23:14:25",".jpg"
"C:\All phones data\mom new one storage\Camera\.trashed-1763288542-IMG_20251007_200310.jpg","5.71","17-10-2025 23:14:26",".jpg"
"C:\All phones data\mom new one storage\Camera\.trashed-1763288543-IMG_20251008_064334.jpg","4.65","17-10-2025 23:14:26",".jpg"
"C:\All phones data\mom new one storage\Camera\.trashed-1763288543-IMG_20251008_064404.jpg","5.56","17-10-2025 23:14:26",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240722_093743.jpg","2.51","18-10-2025 00:46:03",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240723_075659.jpg","2.63","18-10-2025 00:46:04",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240723_081339.jpg","3.28","18-10-2025 00:46:05",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240723_081343.jpg","3.03","18-10-2025 00:46:07",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240723_081350.jpg","3.37","18-10-2025 00:46:08",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240723_081419.jpg","1.2","18-10-2025 00:46:09",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240723_081423.jpg","1.2","18-10-2025 00:46:11",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240723_081428.jpg","1.63","18-10-2025 00:46:12",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240723_081430.jpg","1.23","18-10-2025 00:46:14",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240723_081455.jpg","2.28","18-10-2025 00:46:15",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240723_081456.jpg","2.31","18-10-2025 00:46:17",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240723_084101.jpg","2.29","18-10-2025 00:46:19",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240723_084115.jpg","2.46","18-10-2025 00:46:20",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240723_084126.jpg","2.27","18-10-2025 00:46:21",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240723_084137.jpg","2.91","18-10-2025 00:46:22",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240723_084145.jpg","2.6","18-10-2025 00:46:24",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_075428.jpg","3.57","18-10-2025 00:46:26",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_075430.jpg","3.42","18-10-2025 00:46:28",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_093448.jpg","2.88","18-10-2025 00:46:29",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_093451.jpg","4.08","18-10-2025 00:46:29",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_105622.jpg","2.32","18-10-2025 00:46:32",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_105625.jpg","2.8","18-10-2025 00:46:34",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_105947.jpg","7.29","18-10-2025 00:46:36",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_105954.jpg","7.54","18-10-2025 00:46:36",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_105956.jpg","7.61","18-10-2025 00:46:37",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_110005.jpg","6.42","18-10-2025 00:46:39",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_110045.jpg","4.69","18-10-2025 00:46:41",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_110053.jpg","4.56","18-10-2025 00:46:42",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_110055.jpg","4.28","18-10-2025 00:46:44",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_110056.jpg","3.8","18-10-2025 00:46:44",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_110108.jpg","4.71","18-10-2025 00:46:47",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_110111.jpg","7.99","18-10-2025 00:46:48",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_110115.jpg","4.66","18-10-2025 00:46:50",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_110154.jpg","2.73","18-10-2025 00:46:51",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_110156.jpg","2.96","18-10-2025 00:46:52",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_110159.jpg","2.92","18-10-2025 00:46:54",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_110258.jpg","4.4","18-10-2025 00:46:56",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_110300.jpg","4.45","18-10-2025 00:46:57",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_110320.jpg","6.17","18-10-2025 00:46:58",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_110325.jpg","6.34","18-10-2025 00:46:59",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111019.jpg","3.89","18-10-2025 00:47:02",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111020.jpg","3.93","18-10-2025 00:47:03",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111031.jpg","3.71","18-10-2025 00:47:05",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111032.jpg","3.46","18-10-2025 00:47:06",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111049.jpg","3.61","18-10-2025 00:47:07",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111052.jpg","3.72","18-10-2025 00:47:10",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111056.jpg","3.62","18-10-2025 00:47:11",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111057.jpg","3.59","18-10-2025 00:47:13",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111141.jpg","5.92","18-10-2025 00:47:14",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111158.jpg","6.7","18-10-2025 00:47:15",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111201.jpg","6.71","18-10-2025 00:47:18",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111232.jpg","6.97","18-10-2025 00:47:19",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240727_064139.jpg","3.29","18-10-2025 00:47:21",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240727_075912.jpg","3.67","18-10-2025 00:47:22",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240727_093905.jpg","3.14","18-10-2025 00:47:23",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240728_075635.jpg","3.69","18-10-2025 00:47:25",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240728_075637.jpg","3.55","18-10-2025 00:47:27",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240728_090634.jpg","4.27","18-10-2025 00:47:29",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240728_090647.jpg","4.72","18-10-2025 00:47:31",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240728_090700.jpg","3.96","18-10-2025 00:47:33",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240728_090712.jpg","4.56","18-10-2025 00:47:35",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240728_093308.jpg","3.01","18-10-2025 00:47:37",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240728_093311.jpg","3.03","18-10-2025 00:47:38",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_075125.jpg","3.79","18-10-2025 00:47:40",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_075128.jpg","3.93","18-10-2025 00:47:41",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_075155.jpg","3.61","18-10-2025 00:47:43",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212320.jpg","3.32","18-10-2025 00:47:45",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212335.jpg","4.75","18-10-2025 00:47:46",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212353.jpg","5.16","18-10-2025 00:47:47",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212354.jpg","5.19","18-10-2025 00:47:49",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212355.jpg","4.85","18-10-2025 00:47:51",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212402.jpg","3.92","18-10-2025 00:47:52",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212410.jpg","3.7","18-10-2025 00:47:54",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212423.jpg","5.79","18-10-2025 00:47:55",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212448.jpg","4.08","18-10-2025 00:47:56",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212450.jpg","3.96","18-10-2025 00:47:58",".jpg"
